idPrestamo,target,monthly_debt_capacity,var_employment_time_in_months,approved_amount,approved_term,approved_interest_amount,var_net_income,person_gender,credit_history_marital_status,var_max_sbs_qual_12m,person_degree_type_desc,default_request_term,default_request_amount
LIBDISP9832897855,1,252.39,9,"1,200",6,289.11,1140.125,MALE,C,NORMAL,Secundaria,1,0
LIBDISP9021501745,1,244.57,50,"2,200",12,696.15,1061.375,FEMALE,S,NORMAL,Secundaria,0,0
LIBDISP4057314971,0,491.5,64,"1,000",3,84.99,2082.196667,FEMALE,S,NORMAL,Secundaria,0,0
LIBDISP8375185888,0,848.65,77,"1,500",6,221.53,3422.423333,MALE,S,NORMAL,Universitaria,0,0
LIBDISP9694463037,0,470.52,82,"1,000",3,91.34,1882.09,FEMALE,S,NORMAL,Universitaria,1,0
LIBDISP0492929616,0,490.77,79,"1,500",6,221.53,2448.016667,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,1,0
LIBDISP6813272232,0,428.57,71,"4,000",12,"1,109.56",1803.923333,FEMALE,S,NORMAL,Universitaria,0,0
LIBDISP8862427268,1,647.87,4,"1,200",6,289.11,2660.63,MALE,S,NORMAL,Secundaria,1,0
LIBDISP7167831610,0,694.23,,900,6,149.79,2912.158333,FEMALE,C,CPP,Universitaria,1,0
LIBDISP3835927929,1,209.48,77,"1,000",6,152.32,2498.043333,MALE,S,NORMAL,Secundaria,1,0
LIBDISP0355045033,0,740.53,43,600,4,61.97,4339.761667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP5414743218,0,256.66,73,"1,200",6,289.11,2279.176667,FEMALE,S,CPP,Secundaria,0,0
LIBDISP1965000460,0,211.16,5,"1,000",6,240.92,1204.875,FEMALE,S,CPP,Secundaria,0,0
LIBDISP1947886051,0,214.08,14,"1,000",6,240.92,1312.5,MALE,S,CPP,Carrera TÃƒÂ©cnica,1,0
LIBDISP4328432214,1,298.9,12,"1,400",6,207.69,1875,MALE,S,NORMAL,Universitaria,1,0
LIBDISP1489997940,0,462.32,28,"1,000",3,84.99,1849.26,MALE,S,NORMAL,Universitaria,1,0
LIBDISP9260244998,0,284.24,58,"1,300",6,313.2,2841.976667,FEMALE,C,NORMAL,Universitaria,1,0
LIBDISP0025840099,0,223.24,33,"1,000",6,152.32,2157.236667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP7596330575,0,304.33,81,700,3,62.07,2163.49,MALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP4814321349,0,567.25,8,"1,000",3,84.99,2309.836667,MALE,S,NORMAL,Universitaria,0,0
LIBDISP4043750792,0,610.52,19,"2,500",6,360.78,2775.535,FEMALE,S,NORMAL,Carrera TÃƒÂ©cnica,0,0
LIBDISP0748002475,0,"1,790.34",14,"1,000",3,64.48,6118.708333,MALE,S,CPP,Postgrado,0,0
LIBDISP6686957289,0,695.81,54,"3,000",6,429.99,4487.788333,MALE,C,CPP,Carrera TÃƒÂ©cnica,1,0
LIBDISP0384509680,0,"1,462.75",80,500,1,23.05,3480.068333,MALE,S,NORMAL,Universitaria,0,0
LIBDISP7336529803,1,463.8,4,"4,200",12,"1,288.25",1740.375,FEMALE,S,NORMAL,Secundaria,0,0
